"group_id";"from_attack";"to_attack"
"100000";"10072";"10073"
"100001";"10072";"10364"
"100002";"10073";"10364"
"100003";"10018";"10019"
"100004";"10018";"10098"
"100005";"10018";"10315"
"100006";"10018";"10328"
"100007";"10019";"10098"
"100008";"10019";"10315"
"100009";"10019";"10328"
"100010";"10098";"10315"
"100011";"10098";"10328"
"100012";"10315";"10328"
"100013";"10002";"10021"
"100014";"10002";"10061"
"100015";"10002";"10096"
"100016";"10002";"10104"
"100017";"10002";"10122"
"100018";"10002";"10123"
"100019";"10002";"10128"
"100020";"10002";"10159"
"100021";"10002";"10347"
"100022";"10021";"10061"
"100023";"10021";"10096"
"100024";"10021";"10104"
"100025";"10021";"10122"
"100026";"10021";"10123"
"100027";"10021";"10128"
"100028";"10021";"10159"
"100029";"10021";"10347"
"100030";"10061";"10096"
"100031";"10061";"10104"
"100032";"10061";"10122"
"100033";"10061";"10123"
"100034";"10061";"10128"
"100035";"10061";"10159"
"100036";"10061";"10347"
"100037";"10096";"10104"
"100038";"10096";"10122"
"100039";"10096";"10123"
"100040";"10096";"10128"
"100041";"10096";"10159"
"100042";"10096";"10347"
"100043";"10104";"10122"
"100044";"10104";"10123"
"100045";"10104";"10128"
"100046";"10104";"10159"
"100047";"10104";"10347"
"100048";"10122";"10123"
"100049";"10122";"10128"
"100050";"10122";"10159"
"100051";"10122";"10347"
"100052";"10123";"10128"
"100053";"10123";"10159"
"100054";"10123";"10347"
"100055";"10128";"10159"
"100056";"10128";"10347"
"100057";"10159";"10347"
"100058";"10030";"10132"
"100059";"10030";"10140"
"100060";"10030";"10300"
"100061";"10132";"10140"
"100062";"10132";"10300"
"100063";"10140";"10300"
"100064";"10097";"10339"
"100065";"10006";"10008"
"100066";"10006";"10041"
"100067";"10008";"10041"
"100068";"10316";"10317"
"100069";"10316";"10318"
"100070";"10316";"10319"
"100071";"10317";"10318"
"100072";"10317";"10319"
"100073";"10318";"10319"
"100074";"10045";"10055"
"100075";"10045";"10057"
"100076";"10045";"10058"
"100077";"10045";"10059"
"100078";"10045";"10078"
"100079";"10045";"10084"
"100080";"10045";"10085"
"100081";"10045";"10094"
"100082";"10045";"10111"
"100083";"10045";"10136"
"100084";"10045";"10142"
"100085";"10045";"10151"
"100086";"10045";"10153"
"100087";"10045";"10154"
"100088";"10045";"10155"
"100089";"10045";"10156"
"100090";"10045";"10182"
"100091";"10045";"10203"
"100092";"10055";"10057"
"100093";"10055";"10058"
"100094";"10055";"10059"
"100095";"10055";"10078"
"100096";"10055";"10084"
"100097";"10055";"10085"
"100098";"10055";"10094"
"100099";"10055";"10111"
"100100";"10055";"10136"
"100101";"10055";"10142"
"100102";"10055";"10151"
"100103";"10055";"10153"
"100104";"10055";"10154"
"100105";"10055";"10155"
"100106";"10055";"10156"
"100107";"10055";"10182"
"100108";"10055";"10203"
"100109";"10057";"10058"
"100110";"10057";"10059"
"100111";"10057";"10078"
"100112";"10057";"10084"
"100113";"10057";"10085"
"100114";"10057";"10094"
"100115";"10057";"10111"
"100116";"10057";"10136"
"100117";"10057";"10142"
"100118";"10057";"10151"
"100119";"10057";"10153"
"100120";"10057";"10154"
"100121";"10057";"10155"
"100122";"10057";"10156"
"100123";"10057";"10182"
"100124";"10057";"10203"
"100125";"10058";"10059"
"100126";"10058";"10078"
"100127";"10058";"10084"
"100128";"10058";"10085"
"100129";"10058";"10094"
"100130";"10058";"10111"
"100131";"10058";"10136"
"100132";"10058";"10142"
"100133";"10058";"10151"
"100134";"10058";"10153"
