"eventid";"city_id";"tgroup"
"10240";183;"Revolutionary Armed Forces of Colombia (FARC)"
"10241";59;"Catholic Reaction Force"
"10242";184;"Revolutionary Armed Forces of Colombia (FARC)"
"10243";185;"Revolutionary Armed Forces of Colombia (FARC)"
"10244";186;"National Liberation Army of Colombia (ELN)"
"10245";42;"Chechen Rebels"
"10246";167;"National Liberation Army (NLA) (Macedonia)"
"10247";187;"Chechen Rebels"
"10248";29;"Chechen Rebels"
"10249";188;"Revolutionary Armed Forces of Colombia (FARC)"
"10250";189;"National Liberation Army (NLA) (Macedonia)"
"10251";190;"Revolutionary Armed Forces of Colombia (FARC)"
"10252";42;"Chechen Rebels"
"10253";191;"National Liberation Army of Colombia (ELN)"
"10254";40;"National Liberation Army of Colombia (ELN)"
"10255";40;"National Liberation Army of Colombia (ELN)"
"10256";40;"National Liberation Army of Colombia (ELN)"
"10257";33;"National Liberation Army of Colombia (ELN)"
"10258";33;"National Liberation Army of Colombia (ELN)"
"10259";33;"National Liberation Army of Colombia (ELN)"
"10260";33;"National Liberation Army of Colombia (ELN)"
"10261";33;"National Liberation Army of Colombia (ELN)"
"10262";192;"United Self Defense Units of Colombia (AUC)"
"10263";193;"National Liberation Army of Colombia (ELN)"
"10264";32;"National Liberation Army (NLA) (Macedonia)"
"10265";42;"Chechen Rebels"
"10266";19;"Red Hand Defenders (RHD)"
"10267";19;"Red Hand Defenders (RHD)"
"10268";32;"National Liberation Army (NLA) (Macedonia)"
"10269";32;"National Liberation Army (NLA) (Macedonia)"
"10270";194;"National Liberation Army (NLA) (Macedonia)"
"10271";195;"Chechen Rebels"
"10272";196;"National Liberation Army of Colombia (ELN)"
"10273";30;"Chechen Rebels"
"10274";42;"Chechen Rebels"
"10275";197;"Revolutionary Armed Forces of Colombia (FARC)"
"10276";32;"National Liberation Army (NLA) (Macedonia)"
"10277";42;"Chechen Rebels"
"10278";198;"Corsican National Liberation Front (FLNC)"
"10279";199;"National Liberation Army (NLA) (Macedonia)"
"10280";42;"Chechen Rebels"
"10281";200;"National Liberation Army (NLA) (Macedonia)"
"10282";42;"Chechen Rebels"
"10283";51;"Basque Fatherland and Freedom (ETA)"
"10284";42;"Chechen Rebels"
"10285";32;"National Liberation Army (NLA) (Macedonia)"
"10286";147;"National Liberation Army (NLA) (Macedonia)"
"10287";201;"National Liberation Army (NLA) (Macedonia)"
"10288";202;"Chechen Rebels"
"10289";182;"Basque Fatherland and Freedom (ETA)"
"10290";203;"Revolutionary Armed Forces of Colombia (FARC)"
"10291";1;"Revolutionary Armed Forces of Colombia (FARC)"
"10292";204;"Revolutionary Armed Forces of Colombia (FARC)"
"10293";195;"Chechen Rebels"
"10294";205;"United Self Defense Units of Colombia (AUC)"
"10295";195;"Chechen Rebels"
"10296";206;"National Liberation Army of Colombia (ELN)"
"10297";207;"Red Hand Defenders (RHD)"
"10298";208;"National Liberation Army of Colombia (ELN)"
"10299";61;"Chechen Rebels"
"10300";209;"National Socialist Underground"
"10301";210;"Revolutionary Armed Forces of Colombia (FARC)"
"10302";211;"Chechen Rebels"
"10303";1;"United Self Defense Units of Colombia (AUC)"
"10304";212;"Revolutionary Armed Forces of Colombia (FARC)"
"10305";155;"National Liberation Army of Colombia (ELN)"
"10306";42;"Chechen Rebels"
"10307";213;"Chechen Rebels"
"10308";29;"Chechen Rebels"
"10309";19;"Ulster Freedom Fighters (UFF)"
"10310";214;"Revolutionary Armed Forces of Colombia (FARC)"
"10311";116;"Basque Fatherland and Freedom (ETA)"
"10312";42;"Chechen Rebels"
"10313";215;"Revolutionary Armed Forces of Colombia (FARC)"
"10314";19;"Red Hand Defenders (RHD)"
"10315";216;"Animal Liberation Front (ALF)"
"10316";217;"Al-Qaida"
"10317";217;"Al-Qaida"
"10318";79;"Al-Qaida"
"10319";218;"Al-Qaida"
"10320";22;"Revolutionary Armed Forces of Colombia (FARC)"
"10321";219;"Revolutionary Armed Forces of Colombia (FARC)"
"10322";220;"United Self Defense Units of Colombia (AUC)"
"10323";1;"Revolutionary Armed Forces of Colombia (FARC)"
"10324";221;"Chechen Rebels"
"10325";29;"Chechen Rebels"
"10326";222;"Chechen Rebels"
"10327";223;"Right-Wing Paramilitaries"
"10328";224;"Animal Liberation Front (ALF)"
"10329";225;"Revolutionary Armed Forces of Colombia (FARC)"
"10330";226;"Revolutionary Armed Forces of Colombia (FARC)"
"10331";157;"Chechen Rebels"
"10332";46;"Red Hand Defenders (RHD)"
"10333";116;"Basque Fatherland and Freedom (ETA)"
"10334";227;"Terena Indians"
"10335";228;"Revolutionary Armed Forces of Colombia (FARC)"
"10336";229;"United Self Defense Units of Colombia (AUC)"
"10337";54;"United Self Defense Units of Colombia (AUC)"
"10338";230;"Association Totalement Anti-Guerre (ATAG)"
"10339";231;"Death Squad"
"10340";232;"Revolutionary Armed Forces of Colombia (FARC)"
"10341";1;"United Self Defense Units of Colombia (AUC)"
"10342";233;"National Liberation Army of Colombia (ELN)"
"10343";234;"United Self Defense Units of Colombia (AUC)"
"10344";1;"Rebels"
"10345";51;"Basque Fatherland and Freedom (ETA)"
"10346";235;"United Self Defense Units of Colombia (AUC)"
"10347";236;"Earth Liberation Front (ELF)"
"10348";237;"United Self Defense Units of Colombia (AUC)"
