"City_Name";"City_id"
"Valledupar";22
"Tovzeni";62
"London";56
"Cucuta";196
"Bogota";54
"San Luis";138
"Rio Negro";40
"Valledupar district";225
"Ciudad Real";171
"Medellin";33
"Buenos Aires";65
"Barbosa";14
"Buesaco district";264
"San Sebastian";182
"Voskresenskoye";202
"Zurich";4
"Banjica";52
"Barranquilla";78
"Neiva";127
"Estacada";102
"El Choco";234
"Glengormley";128
"Holmlia";36
"Ajaccio";198
"Pereira district";110
"Quibdo district";241
"Montebello";254
"Cucuta district";16
"Bogota district";2
"Saravena";39
"Paris";69
"Pailitas";237
"Glendale";3
"Rome";81
"Celopek";199
"Puerres";204
"Alto de San Juan";90
"Bocas de Sogamoso";163
"Buenaventura district";164
"Yolombo";5
"Tucata";185
"Eugene";77
"Amalfi";169
"Clatskanie";100
"Remedios";130
"Mesopotamia";179
"San Francisco";143
"Grenoble";58
"Guatape";6
"Arboleda";137
"Kumanovo";148
"Mineralnye Vody";70
"Ealing";134
"Rondonopolis district";227
"Villanueva";97
"Beasain";251
"Tibu district";206
"La Gabarra district";259
"San Andres";188
"Shali";157
"Zakan-Yurt";80
"Cano La Pava";111
"Santo Tomas";172
"Pima County Estates";105
"Bastia";115
"Unknown";1
"Tolosa";76
"Chiriguana";240
"Strabane";242
"Madrid";51
"Ratae";147
"Between Grozny and Argun";12
"Godo";166
"Vitoria";116
"Puerto Libertador district";203
"Shelkovskoy (District)";253
"Jardin";260
"Lejanias";118
"Oraovica";96
"Sion Mills";103
"Gostivar";154
"Seattle";101
"Jaznice";124
"Falan";220
"San Juan de Arama district";190
"Antrim";114
"Lurgan";46
"Sativanorte";212
"Arauca";86
"Bachi-Yurt";8
"Alamogordo";224
"La Gloria";43
"Tucson";216
"Zhelino";139
"San Adolfo";215
"Vladikavkaz";245
"Rosas";64
"Silvia district";119
"Beloviste";122
"La Buitrera";173
"Goragorsky";187
"Cologne";28
"Goryacheistochnenskoye";243
"Llorente";73
"Puerto Wilches";44
"New York City";217
"Ambelokipi";87
"Los Palmitos";219
"Santa Marta district";229
"Zaragoza";95
"Scottsdale";26
"Kurchaloyevsky (District)";195
"Padua";83
"Urus-Martan";255
"Miller Place";20
"Litchfield";236
"Adyge-Khabl";72
"Bujic";63
"Tumaco";223
"Starye Atagi";13
"Itagui district";191
"Arlington";79
"Munich";209
"Iquira district";226
"Tierralta district";250
"Donostia-San Sebastian";35
"Jurado";25
"Cerrnice";158
"Kalamazoo";37
"Nuremberg";106
"Annecy";31
"Getxo";244
"Caramanta";205
"Oxted";17
"Marinilla";193
"Santa Maria";197
"Curumani";149
"Cali";93
"Galate";146
"Gjilan";144
"Mexico City";142
"Ayacucho";170
"Puerto Rico";210
"Tetovo district";108
"Hernani";60
"Carmen de Bolivar district";192
"Yarumal district";141
"Kurchaloy";61
"Caracolicito";208
"Barrancabermeja";10
"Pau";230
"Cookstown";23
"Astrakhan";180
"San Juan Nepomuceno";57
"Nevinnomyssk";132
"Limavady";47
"Guadalupe district";233
"Bujanovac";67
"Cordoba";136
"Belfast";19
"Corinto district";248
"Gekhi";177
"Preljubiste";247
"Santa Barbara";27
"Aguachica";165
"Zilce";201
"Alto de Mayo";84
"Berkat-Yurt";88
"Tetovo";32
"Alejandria";238
"Vaksince";92
"Portland";85
"San Juan de Cesar";21
"Hendon";94
"Riohacha district";261
"Visalia";55
"Meskety";211
"Lesok";167
"Medellin district";129
"Stateline";126
"Pailitas district";162
"Cloughmills";59
"El Ventarron";168
"Florencia";183
"Vratnice";125
"Alleroy";178
"Ripon";7
"Cartagena";256
"San Pedro de Uraba";91
"La Montanita district";232
"Shanksville";218
"Rio Sucio";252
"Novaya Zhizn";213
"Venadillo district";184
"Gudermes";30
"Lasarte";66
"Siroki Brijeg";82
"Neprosteno";123
"Podujevo";53
"Aratoca district";181
"Vedensky (District)";160
"Larne";107
"Buga district";231
"Bonifacio";109
"San Lorenzo";257
"Alkhan-Yurt";89
"San Pablo";131
"Liberec";153
"Argun";29
"Serzhen-Yurt";267
"Ballynahinch";207
"Pobedinskoye";249
"Ljubanci";156
"Patrington";9
"La Nevadita";117
"Barbacoas district";228
"Cajibio district";24
"Jegunovce";194
"Puerto Colombia district";175
"Cerevajka";75
"Yessentuki";71
"Sonson";262
"Novye Atagi";258
"Chengue";11
"Ocana";266
"El Penol";239
"Manizales district";235
"Khankala";221
"Grozny";42
"Hamburg";112
"Algeciras";151
"Lucane";41
"Penrith";38
"Logrono";104
"Berriz";34
"El Tarra district";246
"Moygashel";49
"Carmen de Viboral";15
"Skopje";68
"Puente Quetame";214
"Miroc";50
"Zarauz";98
"Guaranda";265
"Salou";174
"Bello";161
"Dungannon";48
"Lima";99
"Canaveral";140
"San Martin de Pangoa district";145
"Brezno";113
"Pitalito";152
"Holywell";18
"Odri district";120
"Londonderry";74
"Magangue district";263
"La Dorada district";176
"Bucaramanga district";155
"Athens";121
"Heliconia";45
"Mayrtup";222
"Las Flores";159
"Opae";200
"Santa Isabel";186
"Suvorov-Yurt";135
"Maria La Baja";150
"Between Novyye Shchedriny and Staryye Shchedriny";133
"Mlin";189
